Antecedent,Antecedent Coverage %,Confidence,Lift
Added_lines <= -12.6,0.04069,0.9759,1.44264
AvgLineComment <= 0.85 & 4.4 < Added_lines <= 18.2,0.13431,0.95255,1.40812
0.95 < MaxInheritanceTree <= 1.58 & -0.245 < CountDeclMethodPrivate <= 0.115,0.10294,0.95238,1.40787
0.95 < MaxInheritanceTree <= 1.58 & -0.45 < CountDeclMethodProtected <= 0.13,0.11912,0.95062,1.40526
0.95 < MaxInheritanceTree <= 1.58 & -0.25 < CountClassDerived <= 0.185,0.10392,0.94811,1.40156
MaxNesting_Mean <= 0.085 & 4.4 < Added_lines <= 18.2,0.15784,0.9472,1.40022
CountClassCoupled <= 1.45,0.20882,0.94366,1.39498
MaxNesting_Mean <= 0.085 & -0.245 < CountDeclMethodPrivate <= 0.115,0.1348,0.93818,1.38688
AvgLineComment <= 0.85 & -0.245 < CountDeclMethodPrivate <= 0.115,0.10245,0.9378,1.38631
AvgLineComment <= 0.85 & -0.45 < CountDeclMethodProtected <= 0.13,0.10098,0.93689,1.38497
