CountDeclMethodPrivate,CountDeclMethodDefault,AvgEssential,CountDeclClassVariable,CountDeclClassMethod,AvgLineComment,CountLineComment,CountDeclClass,CountDeclMethodProtected,CountDeclInstanceVariable,CountDeclMethodPublic,RatioCommentToCode,AvgLineBlank,PercentLackOfCohesion,MaxInheritanceTree,CountClassDerived,CountClassCoupled,CountClassBase,CountInput_Mean,CountInput_Min,CountOutput_Min,MaxNesting_Mean,MaxNesting_Min,Added_lines,OWN_LINE,MINOR_COMMIT,MAJOR_LINE,target
0.0,0.0,1.0,0.0,1.0,4.0,61.0,1.0,0.0,2.0,11.0,1.07,0.0,86.0,1.0,0.0,0.0,2.0,0.73,0.0,1.0,0.64,0.0,6.0,0.96,0.0,1.0,0
1.0,0.0,1.0,0.0,0.0,1.0,43.0,1.0,0.0,9.0,16.0,0.53,0.0,84.0,1.0,0.0,4.0,1.0,4.29,0.0,1.0,0.42,0.0,6.0,0.83,0.0,2.0,0
0.0,0.0,1.0,6.0,0.0,2.0,28.0,1.0,0.0,1.0,2.0,1.75,0.0,85.0,1.0,0.0,0.0,1.0,3.5,2.0,1.0,0.0,0.0,8.0,0.52,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,7.0,167.0,1.0,0.0,0.0,20.0,1.06,0.0,0.0,1.0,0.0,32.0,2.0,4.5,0.0,2.0,0.0,0.0,213.0,0.74,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,2.0,34.0,1.0,0.0,3.0,5.0,0.63,0.0,46.0,1.0,0.0,1.0,1.0,3.2,2.0,1.0,1.25,0.0,6.0,1.0,0.0,0.0,0
22.0,1.0,1.0,0.0,0.0,5.0,175.0,1.0,2.0,3.0,0.0,0.45,2.0,72.0,1.0,0.0,11.0,1.0,6.64,1.0,1.0,1.26,0.0,6.0,0.99,0.0,2.0,1
0.0,2.0,1.0,0.0,0.0,5.0,349.0,1.0,0.0,0.0,3.0,29.08,0.0,0.0,0.0,1.0,2.0,0.0,2.2,1.0,1.0,0.0,0.0,6.0,0.99,0.0,1.0,0
0.0,21.0,1.0,0.0,0.0,6.0,319.0,1.0,0.0,0.0,25.0,4.2,0.0,0.0,0.0,1.0,12.0,0.0,2.93,0.0,0.0,0.0,0.0,29.0,0.86,0.0,3.0,1
0.0,11.0,1.0,0.0,0.0,15.0,269.0,1.0,0.0,0.0,4.0,2.72,0.0,0.0,5.0,2.0,14.0,2.0,1.87,1.0,0.0,0.0,0.0,6.0,0.85,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,6.0,42.0,1.0,0.0,0.0,3.0,5.25,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.9,0.0,0.0,0
0.0,2.0,1.0,2.0,0.0,10.0,399.0,1.0,0.0,2.0,34.0,4.93,1.0,100.0,0.0,1.0,14.0,0.0,10.11,0.0,0.0,0.0,0.0,6.0,0.98,0.0,2.0,0
4.0,0.0,2.0,2.0,0.0,9.0,137.0,1.0,0.0,10.0,6.0,0.61,2.0,63.0,2.0,0.0,6.0,1.0,5.8,2.0,1.0,1.92,0.0,501.0,0.44,0.0,1.0,1
7.0,11.0,1.0,8.0,11.0,4.0,331.0,1.0,2.0,2.0,38.0,0.56,0.0,93.0,2.0,0.0,18.0,2.0,3.78,0.0,1.0,0.67,0.0,28.0,0.88,0.0,2.0,1
0.0,0.0,1.0,0.0,0.0,2.0,68.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,4.0,1.0,9.0,1.0,2.67,0.0,1.0,0.73,0.0,6.0,0.96,0.0,1.0,0
8.0,0.0,2.0,2.0,26.0,5.0,186.0,1.0,0.0,0.0,18.0,0.48,1.0,100.0,1.0,0.0,6.0,1.0,4.62,2.0,1.0,2.04,0.0,6.0,0.93,0.0,1.0,0
1.0,0.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,10.0,7.0,0.35,0.0,77.0,1.0,0.0,2.0,1.0,3.0,1.0,1.0,0.8,0.0,6.0,0.63,0.0,1.0,0
0.0,1.0,1.0,0.0,0.0,0.0,22.0,1.0,1.0,13.0,3.0,0.63,0.0,83.0,1.0,1.0,1.0,1.0,1.4,1.0,0.0,0.0,0.0,6.0,0.92,0.0,0.0,0
2.0,1.0,1.0,0.0,3.0,10.0,89.0,1.0,0.0,1.0,3.0,0.75,4.0,50.0,3.0,0.0,4.0,1.0,7.33,2.0,1.0,0.62,0.0,6.0,0.91,0.0,3.0,1
5.0,4.0,2.0,0.0,0.0,1.0,34.0,2.0,0.0,13.0,8.0,0.15,3.0,77.0,2.0,0.0,22.0,1.0,5.47,1.0,1.0,1.35,0.0,6.0,0.98,0.0,1.0,1
0.0,0.0,1.0,0.0,1.0,7.0,72.0,1.0,0.0,10.0,2.0,3.6,0.0,95.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.75,0.0,6.0,0.94,0.0,0.0,0
0.0,0.0,2.0,2.0,1.0,11.0,129.0,1.0,0.0,12.0,7.0,0.56,3.0,47.0,1.0,0.0,9.0,2.0,8.0,0.0,1.0,2.11,0.0,6.0,0.98,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,51.0,1.0,1.0,5.0,6.0,0.37,0.0,60.0,4.0,2.0,3.0,1.0,8.14,0.0,1.0,0.78,0.0,6.0,0.91,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,4.0,48.0,1.0,0.0,6.0,6.0,0.43,0.0,61.0,3.0,0.0,5.0,1.0,7.17,0.0,2.0,0.38,0.0,6.0,0.97,0.0,1.0,0
0.0,1.0,1.0,0.0,0.0,6.0,48.0,1.0,0.0,2.0,2.0,0.94,0.0,0.0,2.0,0.0,11.0,1.0,4.67,3.0,1.0,1.2,0.0,6.0,0.93,0.0,2.0,0
1.0,1.0,1.0,0.0,0.0,8.0,60.0,1.0,0.0,12.0,3.0,0.29,3.0,55.0,1.0,0.0,24.0,1.0,14.0,5.0,1.0,2.43,0.0,6.0,0.98,0.0,1.0,1
3.0,0.0,2.0,0.0,2.0,13.0,176.0,1.0,0.0,5.0,8.0,0.46,5.0,70.0,1.0,0.0,22.0,2.0,5.0,1.0,1.0,1.46,0.0,6.0,0.91,0.0,2.0,1
0.0,0.0,1.0,0.0,0.0,4.0,89.0,1.0,2.0,1.0,13.0,0.79,0.0,13.0,1.0,3.0,10.0,1.0,2.47,1.0,1.0,0.41,0.0,6.0,0.98,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,69.0,253.0,1.0,0.0,4.0,3.0,2.43,7.0,25.0,3.0,0.0,9.0,2.0,8.67,6.0,1.0,1.0,1.0,6.0,0.98,0.0,2.0,0
4.0,6.0,1.0,0.0,0.0,8.0,443.0,1.0,5.0,12.0,26.0,0.75,2.0,90.0,1.0,1.0,35.0,5.0,3.71,0.0,0.0,0.53,0.0,6.0,0.98,0.0,2.0,0
0.0,0.0,1.0,0.0,0.0,3.0,71.0,1.0,0.0,1.0,12.0,0.9,0.0,58.0,1.0,0.0,10.0,2.0,1.17,0.0,0.0,0.57,0.0,187.0,0.97,0.0,1.0,0
1.0,0.0,1.0,2.0,0.0,1.0,75.0,1.0,4.0,4.0,12.0,0.64,0.0,76.0,1.0,0.0,9.0,2.0,2.41,0.0,0.0,0.21,0.0,6.0,0.98,0.0,1.0,0
2.0,6.0,2.0,0.0,0.0,10.0,312.0,1.0,0.0,2.0,17.0,0.59,4.0,54.0,1.0,0.0,15.0,2.0,3.88,1.0,1.0,2.22,0.0,58.0,0.93,0.0,2.0,1
0.0,0.0,1.0,0.0,0.0,2.0,39.0,1.0,0.0,0.0,5.0,0.57,0.0,0.0,3.0,1.0,9.0,1.0,3.8,1.0,2.0,0.43,0.0,6.0,0.95,0.0,1.0,0
6.0,0.0,1.0,3.0,4.0,6.0,375.0,2.0,4.0,3.0,43.0,0.46,3.0,73.0,4.0,0.0,0.0,2.0,3.25,0.0,1.0,0.55,0.0,2032.0,0.73,0.0,0.0,1
1.0,0.0,1.0,0.0,1.0,7.0,43.0,1.0,0.0,0.0,1.0,1.87,3.0,0.0,3.0,0.0,7.0,1.0,1.0,1.0,2.0,2.6,0.0,87.0,0.91,0.0,1.0,1
1.0,10.0,1.0,2.0,12.0,2.0,53.0,1.0,0.0,0.0,1.0,0.23,3.0,66.0,1.0,0.0,2.0,1.0,3.17,1.0,1.0,1.07,0.0,6.0,0.98,0.0,1.0,0
8.0,0.0,1.0,11.0,1.0,9.0,257.0,1.0,0.0,0.0,18.0,0.41,2.0,92.0,4.0,0.0,1.0,1.0,6.35,1.0,1.0,0.93,0.0,1002.0,1.0,0.0,0.0,1
3.0,0.0,2.0,2.0,7.0,13.0,120.0,1.0,0.0,0.0,4.0,0.78,4.0,64.0,1.0,0.0,0.0,1.0,4.29,2.0,1.0,1.78,0.0,6.0,0.98,0.0,1.0,0
1.0,0.0,1.0,0.0,0.0,3.0,39.0,1.0,3.0,2.0,1.0,0.4,3.0,50.0,2.0,0.0,6.0,1.0,2.0,0.0,1.0,1.14,0.0,6.0,1.0,0.0,0.0,0
3.0,0.0,4.0,4.0,8.0,40.0,498.0,1.0,0.0,6.0,6.0,0.47,13.0,82.0,1.0,0.0,15.0,1.0,13.33,3.0,1.0,2.91,0.0,6.0,1.0,0.0,0.0,1
0.0,0.0,1.24,5.04,0.24,4.17,52.36,1.0,0.0,3.65,3.21,1.46,0.72,75.83,1.0,0.0,2.17,1.24,4.59,1.52,1.0,0.51,0.0,7.52,0.63,0.0,1.0,1
1.82,4.91,1.82,0.0,0.0,8.19,260.49,1.0,0.0,3.45,15.19,0.55,3.27,58.17,1.0,0.0,12.64,1.82,3.72,1.0,1.0,1.96,0.0,48.57,0.88,0.0,1.82,1
2.51,2.77,1.0,3.51,2.77,1.76,139.49,1.0,3.5,3.5,18.55,0.62,0.0,80.28,1.25,0.0,11.27,2.0,2.76,0.0,0.25,0.33,0.0,11.54,0.95,0.0,1.25,1
2.36,0.0,2.0,2.0,0.41,9.82,133.72,1.0,0.0,10.82,6.41,0.59,2.41,56.45,1.59,0.0,7.23,1.41,6.7,1.18,1.0,2.0,0.0,298.35,0.66,0.0,1.0,1
0.0,0.51,1.0,0.0,0.0,2.77,114.84,1.0,0.0,2.23,4.49,7.93,0.0,34.19,0.74,0.26,1.26,0.74,2.94,1.74,1.0,0.93,0.0,6.0,1.0,0.0,0.26,0
1.86,0.0,2.29,2.86,3.43,17.71,256.2,1.0,2.29,4.86,9.43,0.57,5.57,78.57,1.0,0.0,11.57,1.57,7.09,1.29,0.43,1.37,0.0,6.0,0.99,0.0,0.57,0
0.0,0.0,1.0,0.0,0.0,7.0,167.0,1.0,0.0,0.0,20.0,1.06,0.0,0.0,1.0,0.0,32.0,2.0,4.5,0.0,2.0,0.0,0.0,213.0,0.74,0.0,2.0,0
0.0,1.44,1.0,1.44,0.0,8.32,300.77,1.0,0.0,3.12,26.16,3.67,0.72,89.09,0.84,0.72,11.48,0.28,9.29,0.0,0.56,0.1,0.0,6.0,0.98,0.0,1.72,0
3.0,0.0,3.74,3.74,7.87,36.44,448.11,1.0,0.0,5.21,5.74,0.51,11.81,79.62,1.0,0.0,13.02,1.0,12.14,2.87,1.0,2.76,0.0,6.0,1.0,0.0,0.13,1
0.0,0.91,1.0,0.91,0.0,7.82,204.52,1.0,0.0,0.91,17.11,5.1,0.46,45.52,1.63,1.0,6.37,0.54,5.15,0.54,0.54,0.0,0.0,6.0,0.94,0.0,0.91,0
2.92,0.0,1.97,0.0,1.95,12.85,175.77,1.0,0.0,4.87,8.31,0.48,4.87,68.21,1.0,0.0,22.26,2.0,4.99,0.97,1.03,1.42,0.0,11.31,0.9,0.0,2.0,1
0.0,1.0,1.0,1.0,0.0,6.99,243.64,1.0,1.0,1.5,23.48,2.86,0.5,56.4,0.5,2.0,12.0,0.5,6.28,0.5,0.5,0.21,0.0,6.0,0.98,0.0,1.5,0
1.0,0.87,1.0,0.0,0.0,7.33,57.19,1.0,0.4,10.66,2.73,0.3,3.0,54.33,1.13,0.0,21.59,1.0,12.4,4.33,1.0,2.26,0.0,6.0,0.98,0.0,0.87,0
0.19,0.15,1.04,0.0,0.0,1.96,66.69,1.04,0.96,0.5,8.0,0.97,0.12,2.96,3.92,0.96,9.5,1.0,2.77,0.04,1.0,0.75,0.0,6.0,0.96,0.0,1.0,0
1.5,0.0,1.19,0.37,4.87,3.37,92.53,1.0,0.0,0.81,13.12,0.82,0.19,65.86,1.0,0.0,9.25,1.81,1.81,0.37,0.19,0.85,0.0,153.12,0.96,0.0,1.0,0
0.96,7.49,1.96,1.28,2.55,22.98,342.09,1.0,0.0,1.92,4.64,2.0,4.15,26.17,3.72,1.36,14.32,1.68,5.53,1.64,0.32,0.93,0.0,6.0,0.9,0.0,0.68,0
5.25,0.0,1.61,1.21,16.18,5.79,129.8,1.0,0.0,0.0,11.32,1.03,1.79,60.7,1.79,0.0,6.39,1.0,3.19,1.61,1.39,2.26,0.0,37.83,0.93,0.0,1.0,0
2.87,1.28,1.0,5.23,0.36,9.64,348.08,1.0,0.0,1.28,28.26,3.31,1.36,97.13,1.43,0.64,9.34,0.36,8.76,0.36,0.36,0.33,0.0,363.13,0.99,0.0,1.28,1
0.69,2.88,1.0,2.59,1.08,9.41,392.34,1.0,0.2,2.0,34.39,4.5,0.9,99.31,0.2,0.9,14.39,0.2,9.49,0.0,0.1,0.07,0.0,8.15,0.97,0.0,2.0,1
2.1,3.15,1.0,0.0,0.0,7.05,252.28,1.0,2.62,6.29,15.06,2.89,1.05,47.2,1.95,1.0,18.35,3.1,2.42,0.48,0.48,0.28,0.0,6.0,0.95,0.0,1.05,0
0.0,0.0,1.0,0.0,0.0,6.0,42.0,1.0,0.0,0.0,3.0,5.25,0.0,0.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,0.9,0.0,0.0,0
0.06,10.85,1.03,0.0,0.0,14.85,270.27,1.0,0.0,0.06,4.38,2.66,0.12,1.59,4.88,1.94,14.03,2.0,1.93,1.0,0.03,0.07,0.0,7.53,0.85,0.0,1.03,0
5.05,0.0,1.32,2.05,3.36,8.22,311.77,1.68,2.73,3.64,31.88,0.46,3.64,72.05,3.05,0.0,6.99,2.0,3.8,0.32,1.0,0.84,0.0,1388.28,0.79,0.0,0.64,1
0.74,0.74,1.0,0.0,0.0,6.94,56.82,1.0,0.0,10.41,3.79,0.33,2.21,56.59,1.53,0.0,18.97,1.0,12.19,3.68,1.26,1.88,0.0,6.0,0.98,0.0,1.0,0
0.0,0.0,1.0,0.0,0.61,5.83,62.6,1.0,0.0,8.43,3.57,2.36,0.0,81.69,1.78,0.0,1.96,1.0,3.41,0.61,1.39,0.6,0.0,6.0,0.95,0.0,0.39,0
0.0,0.18,1.0,0.0,0.0,57.7,216.24,1.0,0.0,3.64,2.82,2.16,5.74,20.52,2.82,0.0,9.36,1.82,7.95,5.46,1.0,1.04,0.82,6.0,0.97,0.0,2.0,0
2.16,8.34,1.17,2.0,14.32,2.5,75.07,1.0,0.0,0.0,3.82,0.27,2.67,71.64,1.0,0.0,2.66,1.0,3.41,1.17,1.0,1.23,0.0,6.0,0.97,0.0,1.0,0
0.0,0.0,1.0,0.0,0.63,4.0,71.28,1.0,0.73,1.63,11.73,0.97,0.0,59.2,1.0,1.1,3.67,1.63,1.37,0.37,1.0,0.56,0.0,6.0,0.96,0.0,1.0,0
1.29,0.0,2.29,1.72,3.44,19.49,241.67,1.0,0.0,6.0,6.0,0.45,5.59,70.04,2.14,0.0,9.3,1.0,9.82,1.29,1.57,1.47,0.0,6.0,0.98,0.0,0.57,0
1.0,0.31,1.0,0.0,0.0,4.57,45.61,1.0,2.06,5.15,1.63,0.37,3.0,51.57,1.69,0.0,11.66,1.0,5.78,1.57,1.0,1.55,0.0,6.0,0.99,0.0,0.31,0
0.9,0.1,1.0,1.81,0.0,1.49,72.38,1.0,3.61,3.81,11.03,0.67,0.0,68.62,1.1,0.0,9.19,1.9,2.63,0.29,0.1,0.31,0.0,6.0,0.97,0.0,1.1,0
0.0,2.0,1.0,2.0,0.0,10.0,399.0,1.0,0.0,2.0,34.0,4.93,1.0,100.0,0.0,1.0,14.0,0.0,10.11,0.0,0.0,0.0,0.0,6.0,0.98,0.0,2.0,0
0.0,0.04,1.0,0.0,0.0,4.02,94.69,1.0,1.96,0.98,12.78,1.41,0.0,12.72,0.98,2.96,9.82,0.98,2.46,1.0,1.0,0.4,0.0,6.0,0.98,0.0,1.0,0
2.54,2.03,1.51,0.0,0.0,1.99,52.23,1.51,0.0,7.09,9.97,0.52,1.52,67.64,1.51,0.0,16.09,1.49,3.35,0.51,0.51,0.97,0.0,95.16,0.98,0.0,1.0,0
6.96,0.32,1.0,0.0,0.0,2.95,78.62,1.0,0.63,3.0,3.42,0.57,0.63,54.23,1.0,0.0,4.16,1.0,4.29,1.68,1.0,1.25,0.0,6.0,1.0,0.0,0.63,0
3.21,0.0,1.8,2.79,0.0,7.62,115.57,1.0,0.0,8.23,5.21,0.83,1.61,67.33,1.8,0.0,4.82,1.0,5.35,2.0,1.0,1.54,0.0,404.08,0.45,0.0,1.0,1
0.39,0.0,1.0,0.0,0.0,2.83,71.09,1.0,1.22,4.11,14.17,0.69,0.0,40.64,1.0,1.83,7.66,1.0,3.18,0.61,1.0,0.42,0.0,6.0,0.92,0.0,1.39,0
0.63,1.89,1.32,0.0,0.68,7.95,147.74,1.0,0.0,7.48,6.73,2.65,1.26,82.06,1.0,0.0,4.73,1.32,1.91,1.0,1.0,1.21,0.0,22.41,0.94,0.0,0.63,1
1.96,3.07,1.0,2.24,3.07,4.0,127.07,1.0,0.56,4.88,14.94,0.47,0.0,69.94,2.72,0.0,8.63,1.28,6.22,0.0,1.72,0.46,0.0,12.15,0.94,0.0,1.28,1
0.0,18.02,1.0,0.0,0.0,14.94,309.64,1.0,0.0,0.57,21.88,3.95,0.99,3.55,0.43,0.86,11.57,0.28,3.75,0.85,0.14,0.14,0.14,25.74,0.88,0.0,2.86,1
0.0,0.0,1.12,0.25,0.12,4.87,94.0,1.0,1.75,2.37,12.25,0.76,0.37,17.25,1.0,2.63,9.88,1.12,3.16,0.88,1.0,0.62,0.0,6.0,0.98,0.0,1.0,0
0.0,0.0,1.43,0.86,0.43,5.85,77.48,1.0,0.0,5.13,5.86,0.57,1.28,20.09,2.14,0.57,9.0,1.43,5.6,0.57,1.57,1.15,0.0,6.0,0.96,0.0,1.0,0
0.02,0.0,1.0,0.0,0.98,3.95,60.71,1.0,0.0,2.11,11.08,1.06,0.0,85.97,1.0,0.0,0.06,1.98,0.78,0.0,1.0,0.64,0.0,6.0,0.95,0.0,1.02,0
0.13,10.87,1.0,0.27,1.62,13.25,239.92,1.0,0.0,0.0,3.6,2.38,0.4,8.89,4.46,1.73,12.38,1.87,2.04,1.0,0.13,0.14,0.0,6.0,0.87,0.0,1.0,0
2.06,0.0,1.53,1.06,3.71,6.89,76.76,1.0,0.0,4.7,5.41,0.58,2.12,70.11,1.0,0.0,0.94,1.0,3.68,1.53,1.0,1.32,0.0,6.0,0.82,0.0,1.0,1
2.63,0.0,3.63,3.5,7.01,35.42,442.65,1.0,0.12,5.88,6.0,0.46,11.39,79.28,1.37,0.25,13.51,1.0,12.69,2.63,1.0,2.65,0.0,6.0,0.99,0.0,0.12,0
2.37,0.0,1.46,0.91,0.0,5.74,83.76,1.0,1.63,5.65,3.28,0.5,2.54,55.94,2.0,0.0,6.0,1.0,3.74,0.91,1.0,1.5,0.0,232.11,0.74,0.0,0.46,1
0.23,0.97,1.03,0.06,0.76,0.15,26.79,1.0,0.97,12.62,3.44,0.63,0.03,83.5,1.0,0.97,1.15,1.0,1.49,1.03,0.03,0.06,0.0,6.0,0.92,0.0,0.03,0
3.56,2.85,1.71,0.0,0.0,1.86,49.79,1.71,0.57,9.56,9.44,0.33,2.14,58.63,1.71,0.86,18.56,1.0,4.61,1.0,1.0,1.08,0.0,6.0,0.98,0.0,1.0,0
1.23,0.0,1.41,0.82,2.88,7.7,77.64,1.0,0.0,3.53,5.18,0.57,1.65,62.23,2.18,0.0,2.94,1.0,5.98,0.82,1.59,0.95,0.0,6.0,0.97,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,3.0,53.7,1.0,0.87,4.46,6.81,0.44,0.0,59.73,3.6,1.73,3.94,1.13,7.2,0.0,0.87,0.75,0.0,30.43,0.92,0.0,1.0,1
0.0,3.99,1.0,0.0,0.0,2.76,88.09,1.0,0.0,2.43,8.8,1.31,0.0,37.27,0.81,0.19,3.09,0.81,3.15,1.62,0.81,1.01,0.0,10.37,0.97,0.0,0.57,0
4.0,0.81,1.86,1.73,0.0,8.86,178.47,1.0,0.68,10.27,8.71,0.63,2.0,66.66,1.86,0.14,9.93,1.54,5.52,1.73,0.86,1.73,0.0,433.92,0.51,0.0,1.14,1
3.77,0.62,1.94,1.89,0.0,9.34,144.48,1.0,0.0,9.43,5.89,0.73,1.89,59.43,2.17,0.11,6.45,1.06,5.58,1.94,0.94,1.81,0.0,472.94,0.46,0.0,1.0,1
21.59,0.98,1.0,0.0,0.0,6.2,176.46,1.0,1.96,3.02,0.06,0.49,2.09,71.12,1.04,0.0,10.96,1.02,6.68,1.09,1.0,1.25,0.02,6.0,0.99,0.0,2.0,1
1.72,3.49,1.0,0.55,5.49,7.79,79.06,1.0,0.0,0.72,2.45,0.61,3.72,54.42,2.45,0.0,3.45,1.0,6.18,1.72,1.0,0.75,0.0,6.0,0.93,0.0,2.45,0
0.0,0.0,1.0,0.0,0.0,5.35,43.95,1.0,0.22,1.09,3.65,4.19,0.0,13.02,3.22,1.22,0.65,1.0,2.55,0.78,1.0,0.17,0.0,6.0,0.91,0.0,0.22,0
0.2,0.0,1.0,0.0,0.0,3.41,80.02,1.0,1.61,2.56,13.59,0.74,0.0,26.86,1.0,2.41,8.83,1.0,2.82,0.8,1.0,0.41,0.0,6.0,0.95,0.0,1.2,0
3.0,0.0,3.04,2.08,5.11,27.01,343.06,1.0,0.0,5.52,6.96,0.47,9.15,76.23,1.0,0.0,18.37,1.48,9.32,2.04,1.0,2.21,0.0,6.0,0.96,0.0,0.96,0
2.02,5.9,2.0,0.0,0.03,10.05,309.79,1.0,0.0,2.05,16.85,0.59,4.02,54.26,1.0,0.0,15.11,2.0,3.9,1.0,1.0,2.21,0.0,57.15,0.93,0.0,2.0,1
0.0,1.6,1.0,1.6,0.0,8.41,333.33,1.0,0.2,1.6,28.84,4.15,0.8,80.16,0.79,1.0,13.01,0.2,8.63,0.0,0.2,0.14,0.0,6.0,0.98,0.0,1.8,0
9.27,9.49,1.0,6.79,9.34,4.15,307.4,1.0,2.0,2.15,32.25,0.54,0.3,89.82,1.85,0.0,16.94,1.85,4.21,0.15,1.0,0.76,0.0,24.67,0.89,0.0,2.0,1
0.0,0.89,1.0,0.0,0.0,5.55,46.44,1.0,0.0,2.11,2.33,0.91,0.0,5.12,1.89,0.0,9.89,1.0,4.5,2.89,1.0,1.21,0.0,6.0,0.94,0.0,1.78,0
6.61,10.39,1.0,7.56,10.39,4.0,317.67,1.0,2.0,1.94,36.62,0.57,0.0,88.59,1.94,0.17,17.56,1.94,3.7,0.06,1.0,0.65,0.0,26.79,0.88,0.0,1.94,1
0.0,0.0,1.0,0.0,0.0,6.19,143.37,1.0,0.2,1.02,17.15,0.92,0.0,12.22,1.61,0.41,26.09,1.8,5.24,0.0,1.8,0.16,0.0,170.83,0.78,0.0,1.8,0
0.0,8.36,1.0,0.0,0.0,12.12,221.54,1.0,0.0,0.24,5.92,2.28,0.0,13.9,4.04,1.52,13.04,2.0,1.7,0.76,0.0,0.14,0.0,49.38,0.88,0.0,1.0,0
19.36,0.86,1.14,0.28,0.97,6.11,167.36,1.0,1.72,2.58,0.56,0.5,2.28,70.89,1.0,0.0,9.47,1.0,6.31,1.14,1.0,1.33,0.0,6.0,0.98,0.0,1.86,1
0.52,0.0,1.52,0.69,1.38,8.57,114.27,1.0,0.0,3.52,5.17,0.6,2.25,52.23,1.0,0.0,3.42,1.0,4.95,2.17,1.0,1.54,0.0,6.0,1.0,0.0,0.0,0
2.86,0.97,3.86,3.82,7.63,38.43,489.76,1.0,0.0,5.72,6.87,0.64,12.4,78.22,0.95,0.05,14.86,0.95,12.85,2.86,0.95,2.78,0.0,7.06,0.99,0.0,0.14,1
1.43,4.58,1.72,0.0,0.0,7.16,229.63,1.0,0.28,5.12,13.02,0.6,2.86,62.24,1.0,0.28,11.02,1.72,3.18,1.0,0.72,1.59,0.0,43.23,0.93,0.0,1.43,1
3.77,0.11,1.89,1.77,0.34,9.11,131.57,1.0,0.0,8.98,5.66,0.63,2.23,61.53,2.11,0.0,5.77,1.0,5.97,2.0,1.0,1.77,0.0,444.96,0.49,0.0,1.23,1
0.0,0.0,1.0,5.37,0.0,2.1,32.51,1.0,0.0,1.0,3.05,1.66,0.0,82.17,1.0,0.0,1.05,1.1,3.26,1.79,0.9,0.06,0.0,26.77,0.56,0.0,1.0,0
1.06,0.06,1.0,0.0,0.19,1.56,45.86,1.0,0.0,8.5,15.19,0.54,0.25,81.89,1.12,0.0,4.0,1.0,4.48,0.12,1.0,0.43,0.0,6.0,0.84,0.0,2.06,0
1.0,0.0,1.0,1.41,0.0,1.59,64.38,1.0,3.7,3.41,8.75,0.57,0.89,68.33,1.3,0.0,8.11,1.7,2.29,0.0,0.3,0.49,0.0,6.0,0.98,0.0,0.7,0
0.0,0.0,1.0,0.0,0.79,3.79,58.91,1.0,0.21,2.63,9.96,0.92,0.0,80.57,1.63,0.42,0.63,1.79,2.27,0.0,1.0,0.67,0.0,6.0,0.95,0.0,1.0,0
0.0,0.5,1.0,0.5,0.0,5.5,135.55,1.0,0.0,5.0,12.98,1.55,0.25,70.73,2.25,0.25,7.24,0.75,7.9,0.0,1.5,0.28,0.0,6.0,0.97,0.0,1.25,0
1.66,3.94,1.66,0.0,0.0,6.57,214.57,1.0,0.0,4.74,13.57,0.51,2.63,61.89,1.0,0.0,10.54,1.66,3.58,1.0,1.0,1.73,0.0,40.16,0.83,0.0,1.66,1
0.0,6.91,1.0,0.91,0.0,12.73,328.06,1.0,0.0,0.91,17.63,3.72,0.45,45.43,2.73,1.55,14.0,1.09,5.61,0.55,0.0,0.0,0.0,6.0,0.91,0.0,1.45,0
0.0,0.0,1.0,0.0,0.0,4.0,83.89,1.0,1.75,1.62,12.13,0.75,0.0,18.98,1.25,2.63,9.38,1.0,3.05,0.88,1.12,0.41,0.0,6.0,0.97,0.0,1.0,0
2.54,7.7,1.38,1.23,7.39,1.62,45.7,1.38,0.0,4.99,3.69,0.2,3.0,70.23,1.38,0.0,9.68,1.0,4.05,1.0,1.0,1.18,0.0,6.0,0.98,0.0,1.0,0
0.0,0.0,1.0,0.0,0.0,6.94,160.1,1.0,0.0,0.0,19.06,1.29,0.0,0.0,1.11,0.06,30.23,1.94,4.31,0.06,1.94,0.0,0.0,201.57,0.75,0.0,1.89,0
2.39,0.2,1.8,0.0,1.6,11.59,150.16,1.0,0.0,4.39,6.79,0.56,3.99,55.87,1.2,0.0,19.78,1.8,4.93,1.4,1.0,1.41,0.0,6.0,0.91,0.0,2.0,1
4.88,0.0,1.19,2.81,3.44,6.93,329.22,1.81,3.26,4.68,36.3,0.48,3.0,68.16,3.44,0.0,1.68,2.0,4.13,0.0,1.0,0.84,0.0,1654.93,0.78,0.0,0.19,1
