"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'MaxNesting_Mean <= 0.125 & -33 < Added_lines <= 14'","b'target = 0'",0.0902,184,0.08578,175,0.95109,0.04108,1.91911,1.23515e-12,0.49559,1011
"b'000001'","b'0.85 < CountClassCoupled <= 3.55 & -33 < Added_lines <= 14'","b'target = 0'",0.10882,222,0.10343,211,0.95045,0.0495,1.91782,2.46128e-15,0.49559,1011
"b'000002'","b'MaxInheritanceTree <= 0.745 & -1.22 < CountDeclClassVariable <= 0.05'","b'target = 0'",0.07892,161,0.075,153,0.95031,0.03589,1.91754,2.65608e-36,0.49559,1011
"b'000003'","b'MAJOR_LINE <= 0.11 & -33 < Added_lines <= 14'","b'target = 0'",0.14657,299,0.13873,283,0.94649,0.06609,1.90983,1.28636e-20,0.49559,1011
"b'000004'","b'MaxInheritanceTree <= 0.745 & -33 < Added_lines <= 14'","b'target = 0'",0.08039,164,0.07598,155,0.94512,0.03614,1.90707,1.89692e-10,0.49559,1011
"b'000005'","b'0.745 < MaxInheritanceTree <= 1.14 & -33 < Added_lines <= 14'","b'target = 0'",0.18186,371,0.17157,350,0.9434,0.08144,1.90359,3.58246e-26,0.49559,1011
"b'000006'","b'-0.155 < AvgLineBlank <= 0.31 & -33 < Added_lines <= 14'","b'target = 0'",0.15637,319,0.14706,300,0.94044,0.06956,1.89762,1.10134e-20,0.49559,1011
"b'000007'","b'PercentLackOfCohesion <= 1 & -33 < Added_lines <= 14'","b'target = 0'",0.13824,282,0.1299,265,0.93972,0.06139,1.89616,1.27103e-17,0.49559,1011
"b'000008'","b'0.5 < AvgLineComment <= 3 & -33 < Added_lines <= 14'","b'target = 0'",0.10441,213,0.09804,200,0.93897,0.04629,1.89465,1.04309e-12,0.49559,1011
"b'000009'","b'0.125 < MaxNesting_Mean <= 0.54 & -33 < Added_lines <= 14'","b'target = 0'",0.08725,178,0.08186,167,0.9382,0.03862,1.89311,1.96337e-10,0.49559,1011
