"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'OWN_COMMIT <= 0.03 & 23 < CountLineComment <= 61.5'","b'target = 0'",0.08393,188,0.08348,187,0.99468,0.02563,1.44306,1.75578e-09,0.68929,1544
"b'000001'","b'OWN_COMMIT <= 0.03 & MAJOR_LINE <= 0.04'","b'target = 0'",0.10134,227,0.10045,225,0.99119,0.03059,1.438,1.93225e-09,0.68929,1544
"b'000002'","b'RatioCommentToCode > 2.21 & -14 < Added_lines <= 3.8'","b'target = 0'",0.12723,285,0.12545,281,0.98596,0.03775,1.43042,2.6185e-10,0.68929,1544
"b'000003'","b'MAJOR_LINE <= 0.04 & -14 < Added_lines <= 3.8'","b'target = 0'",0.14464,324,0.14152,317,0.9784,0.04182,1.41943,1.13412e-09,0.68929,1544
"b'000004'","b'OWN_COMMIT <= 0.03 & -14 < Added_lines <= 3.8'","b'target = 0'",0.19018,426,0.18348,411,0.96479,0.05239,1.39969,4.972e-09,0.68929,1544
"b'000005'","b'-0.68 < CountDeclMethodPrivate <= 0.42 & -14 < Added_lines <= 3.8'","b'target = 0'",0.27009,605,0.25893,580,0.95868,0.07276,1.39083,4.5699e-12,0.68929,1544
"b'000006'","b'0.04 < MAJOR_LINE <= 0.8 & 0.959 < CountDeclClass <= 1.05'","b'target = 0'",0.12054,270,0.11295,253,0.93704,0.02986,1.35943,5.18205e-21,0.68929,1544
"b'000007'","b'0.78 < MaxInheritanceTree <= 1.37 & -0.68 < CountDeclMethodProtected <= 0.09'","b'target = 0'",0.13661,306,0.12545,281,0.9183,0.03129,1.33225,8.79982e-14,0.68929,1544
"b'000008'","b'MAJOR_LINE <= 0.04'","b'target = 0'",0.25223,565,0.23036,516,0.91327,0.0565,1.32496,4.56543e-47,0.68929,1544
"b'000009'","b'CountLineComment <= 23'","b'target = 0'",0.15491,347,0.14107,316,0.91066,0.03429,1.32117,2.8186e-26,0.68929,1544
