Antecedent,Antecedent Coverage %,Confidence,Lift
3.48 < CountClassCoupled <= 6.62,0.18141,1.0,1.05716
0.575 < CountDeclMethodProtected <= 1.435,0.13003,1.0,1.05716
1.65 < CountDeclInstanceMethod <= 4.8,0.24352,0.99817,1.05522
1.88 < CountClassCoupled <= 3.48,0.2109,0.99788,1.05492
0.77 < CountDeclInstanceVariable <= 1.93,0.2042,0.99781,1.05484
-0.16 < CountDeclClassVariable <= 1.12,0.6975,0.9968,1.05377
-0.46 < CountDeclMethodProtected <= 0.09,0.54066,0.99421,1.05104
0.79 < AvgCyclomaticStrict <= 1.32,0.36774,0.99392,1.05073
-0.55 < CountDeclMethodPrivate <= 0.13,0.50179,0.99377,1.05057
4.8 < CountDeclInstanceMethod <= 8.5,0.2109,0.99364,1.05044
