Antecedent,Antecedent Coverage %,Confidence,Lift
AvgCyclomaticModified <= 1.22,0.19696,0.99518,1.13897
CountDeclMethodPrivate <= 0.26,0.23636,0.99197,1.13529
OWN_COMMIT <= 0.21,0.20313,0.98832,1.13112
CountOutput_Mean <= 2.43,0.19934,0.9881,1.13086
AvgEssential <= 0.967,0.07926,0.98802,1.13078
CountClassCoupled <= 3.2,0.19934,0.98571,1.12814
3.2 < CountClassCoupled <= 6.65,0.20313,0.97664,1.11775
2.12 < CountInput_Mean <= 2.95,0.19934,0.97619,1.11724
CountInput_Mean <= 2.12,0.20313,0.9743,1.11507
2.43 < CountOutput_Mean <= 3.2,0.20123,0.97406,1.11479
