"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'-0.42 < CountClassCoupled <= 1.6'","b'target = 0'",0.32763,689,0.32763,689,1,0.02197,1.07187,4.37622e-26,0.93295,1962
"b'000001'","b'13.2 < CountLineComment <= 24 & 0.98 < CountDeclClass <= 1.24'","b'target = 0'",0.2135,449,0.2135,449,1,0.01431,1.07187,6.23706e-10,0.93295,1962
"b'000002'","b'CountOutput_Mean <= 1.48'","b'target = 0'",0.19829,417,0.19829,417,1,0.01329,1.07187,8.62389e-15,0.93295,1962
"b'000003'","b'AvgCyclomaticModified <= 0.904'","b'target = 0'",0.10509,221,0.10509,221,1,0.00705,1.07187,8.90751e-08,0.93295,1962
"b'000004'","b'CountClassCoupled <= -0.42'","b'target = 0'",0.10223,215,0.10223,215,1,0.00685,1.07187,1.42e-07,0.93295,1962
"b'000005'","b'1.48 < CountOutput_Mean <= 2.26'","b'target = 0'",0.20114,423,0.20067,422,0.99764,0.01301,1.06933,2.02715e-13,0.93295,1962
"b'000006'","b'0.91 < CountInput_Mean <= 2.07'","b'target = 0'",0.22111,465,0.21874,460,0.98925,0.01245,1.06034,1.67769e-10,0.93295,1962
"b'000007'","b'CountInput_Mean <= 0.91'","b'target = 0'",0.19211,404,0.18925,398,0.98515,0.01003,1.05595,9.07965e-08,0.93295,1962
"b'000008'","b'0.97 < RatioCommentToCode <= 1.565'","b'target = 0'",0.17974,378,0.17689,372,0.98413,0.0092,1.05485,5.22617e-07,0.93295,1962
"b'000009'","b'-0.015 < OWN_COMMIT <= 0.031'","b'target = 0'",0.36947,777,0.36329,764,0.98327,0.01859,1.05393,1.0036e-14,0.93295,1962
