Antecedent,Antecedent Coverage %,Confidence,Lift
CountClassCoupled <= 1.25,0.21027,0.98938,1.21039
1.25 < CountClassCoupled <= 4.3,0.20625,0.98052,1.19954
RatioCommentToCode > 4.1,0.08036,0.97778,1.19619
0.03 < MAJOR_LINE <= 0.68,0.13973,0.97444,1.19211
OWN_COMMIT > 0.99,0.2558,0.96161,1.1764
PercentLackOfCohesion <= 22.4,0.20089,0.95556,1.169
Del_lines <= -22,0.07545,0.95266,1.16546
-22 < Del_lines <= 5.4,0.41518,0.95161,1.16418
1.9 < RatioCommentToCode <= 4.1,0.10089,0.95133,1.16383
MAJOR_LINE <= 0.03,0.26116,0.94701,1.15855
