"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'MAJOR_COMMIT <= 0.175'","b'target = 0'",0.21384,479,0.21116,473,0.98747,0.02396,1.12797,2.80031e-23,0.87545,1961
"b'000001'","b'MAJOR_LINE <= -0.08'","b'target = 0'",0.1067,239,0.10536,236,0.98745,0.01195,1.12794,2.24802e-11,0.87545,1961
"b'000002'","b'0.175 < MAJOR_COMMIT <= 0.86'","b'target = 0'",0.14152,317,0.13929,312,0.98423,0.01539,1.12426,5.39215e-14,0.87545,1961
"b'000003'","b'0.7 < CountClassCoupled <= 3.6'","b'target = 0'",0.22679,508,0.22188,497,0.97835,0.02334,1.11754,3.77103e-20,0.87545,1961
"b'000004'","b'CountInput_Mean <= 1.38'","b'target = 0'",0.19821,444,0.19241,431,0.97072,0.01888,1.10883,1.24737e-14,0.87545,1961
"b'000005'","b'0.86 < MAJOR_COMMIT <= 1.3'","b'target = 0'",0.25625,574,0.24777,555,0.9669,0.02343,1.10446,9.56079e-18,0.87545,1961
"b'000006'","b'PercentLackOfCohesion <= 8.6'","b'target = 0'",0.20179,452,0.19509,437,0.96681,0.01844,1.10437,1.25024e-13,0.87545,1961
"b'000007'","b'CountLineComment <= 22.2'","b'target = 0'",0.21071,472,0.20357,456,0.9661,0.0191,1.10355,4.887e-14,0.87545,1961
"b'000008'","b'-0.08 < MAJOR_LINE <= 0.55'","b'target = 0'",0.31116,697,0.3,672,0.96413,0.0276,1.1013,6.95455e-21,0.87545,1961
"b'000009'","b'-1.22 < CountDeclClassVariable <= 0.96'","b'target = 0'",0.33304,746,0.31964,716,0.95979,0.02809,1.09634,1.96998e-20,0.87545,1961
