"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'0.255 < MAJOR_COMMIT <= 0.915'","b'target = 0'",0.11696,262,0.11339,254,0.96947,0.01465,1.14839,5.69126e-12,0.8442,1891
"b'000001'","b'MAJOR_COMMIT <= 0.255'","b'target = 0'",0.20759,465,0.20045,449,0.96559,0.0252,1.1438,3.75565e-20,0.8442,1891
"b'000002'","b'CountLineComment <= 13.4'","b'target = 0'",0.10848,243,0.10402,233,0.95885,0.01244,1.13581,3.04493e-09,0.8442,1891
"b'000003'","b'OWN_COMMIT <= 0.188'","b'target = 0'",0.19643,440,0.18795,421,0.95682,0.02212,1.13341,4.1941e-16,0.8442,1891
"b'000004'","b'0.8 < CountClassCoupled <= 3.45'","b'target = 0'",0.2058,461,0.19688,441,0.95662,0.02314,1.13317,7.2068e-17,0.8442,1891
"b'000005'","b'CountClassCoupled <= 0.8'","b'target = 0'",0.19286,432,0.18304,410,0.94907,0.02023,1.12423,1.29466e-13,0.8442,1891
"b'000006'","b'0.01 < MAJOR_LINE <= 0.64'","b'target = 0'",0.12277,275,0.11563,259,0.94182,0.01198,1.11564,1.31181e-07,0.8442,1891
"b'000007'","b'13.4 < CountLineComment <= 34'","b'target = 0'",0.31071,696,0.29196,654,0.93966,0.02966,1.11308,2.71329e-19,0.8442,1891
"b'000008'","b'1.6 < CountOutput_Mean <= 3.24'","b'target = 0'",0.21339,478,0.20045,449,0.93933,0.0203,1.11269,1.78804e-12,0.8442,1891
"b'000009'","b'MAJOR_LINE <= 0.01'","b'target = 0'",0.26696,598,0.25,560,0.93645,0.02463,1.10929,4.80556e-15,0.8442,1891
