"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'0.852 < CountClassBase <= 1.05 & -0.0275 < OWN_COMMIT <= 0.0155'","b'target = 0'",0.19018,426,0.18259,409,0.96009,0.03079,1.2028,1.30963e-12,0.79821,1788
"b'000001'","b'0.205 < MAJOR_LINE <= 0.675'","b'target = 0'",0.0933,209,0.08929,200,0.95694,0.01481,1.19885,6.0275e-12,0.79821,1788
"b'000002'","b'-0.55 < CountClassCoupled <= 2.45 & 0.635 < CountDeclClass <= 1.015'","b'target = 0'",0.17902,401,0.17054,382,0.95262,0.02764,1.19344,1.65458e-08,0.79821,1788
"b'000003'","b'0.635 < CountDeclClass <= 1.015 & -0.0275 < OWN_COMMIT <= 0.0155'","b'target = 0'",0.30446,682,0.28482,638,0.93548,0.04179,1.17197,2.33218e-13,0.79821,1788
"b'000004'","b'11.8 < CountLineComment <= 28.8'","b'target = 0'",0.34375,770,0.32098,719,0.93377,0.0466,1.16982,2.18694e-35,0.79821,1788
"b'000005'","b'RatioCommentToCode > 1.71'","b'target = 0'",0.18661,418,0.17411,390,0.93301,0.02515,1.16888,5.51755e-17,0.79821,1788
"b'000006'","b'-0.0275 < OWN_COMMIT <= 0.0155 & -0.69 < CountDeclClassMethod <= 0.04'","b'target = 0'",0.36116,809,0.33259,745,0.92089,0.04431,1.15369,3.28608e-10,0.79821,1788
"b'000007'","b'0.545 < RatioCommentToCode <= 0.92'","b'target = 0'",0.19911,446,0.18304,410,0.91928,0.02411,1.15167,1.19374e-14,0.79821,1788
"b'000008'","b'0.92 < RatioCommentToCode <= 1.71'","b'target = 0'",0.20402,457,0.18705,419,0.91685,0.0242,1.14863,1.89989e-14,0.79821,1788
"b'000009'","b'0.635 < CountDeclClass <= 1.015 & -0.69 < CountDeclClassMethod <= 0.04'","b'target = 0'",0.38973,873,0.35714,800,0.91638,0.04605,1.14804,5.79306e-10,0.79821,1788
