"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'-0.245 < AvgLineBlank <= 0.09 & -1.21 < CountDeclMethodPrivate <= 0.09'","b'target = 0'",0.33125,742,0.32946,738,0.99461,0.02261,1.0737,1.25923e-08,0.92634,2075
"b'000001'","b'-0.35 < CountClassCoupled <= 2.7'","b'target = 0'",0.31875,714,0.31696,710,0.9944,0.02169,1.07347,3.595e-23,0.92634,2075
"b'000002'","b'-0.022 < OWN_COMMIT <= 0.032'","b'target = 0'",0.43705,979,0.43348,971,0.99183,0.02862,1.0707,2.02446e-31,0.92634,2075
"b'000003'","b'CountLineComment <= 20.6'","b'target = 0'",0.20625,462,0.20446,458,0.99134,0.01341,1.07017,1.14295e-12,0.92634,2075
"b'000004'","b'MaxNesting_Mean <= 0.02'","b'target = 0'",0.24911,558,0.24643,552,0.98925,0.01567,1.06791,2.3834e-14,0.92634,2075
"b'000005'","b'RatioCommentToCode > 1.73'","b'target = 0'",0.19777,443,0.19554,438,0.98871,0.01234,1.06733,5.16616e-11,0.92634,2075
"b'000006'","b'20.6 < CountLineComment <= 32.3'","b'target = 0'",0.30089,674,0.29688,665,0.98665,0.01815,1.0651,4.05339e-16,0.92634,2075
"b'000007'","b'-0.08 < AvgLineComment <= 0.57'","b'target = 0'",0.30536,684,0.30045,673,0.98392,0.01758,1.06216,8.479e-15,0.92634,2075
"b'000008'","b'CountClassBase <= 0.87'","b'target = 0'",0.15402,345,0.15134,339,0.98261,0.00867,1.06074,6.03047e-07,0.92634,2075
"b'000009'","b'MINOR_LINE <= 1.025'","b'target = 0'",0.2683,601,0.26295,589,0.98003,0.01441,1.05796,4.90755e-11,0.92634,2075
