Antecedent,Antecedent Coverage %,Confidence,Lift
CountLineComment <= 17.4,0.14375,0.99689,1.09517
-0.03 < OWN_COMMIT <= 0.034,0.43438,0.98869,1.08616
PercentLackOfCohesion <= 3,0.23571,0.97917,1.07569
0.875 < RatioCommentToCode <= 1.55,0.19464,0.97706,1.07338
RatioCommentToCode > 1.55,0.19464,0.97706,1.07338
CountInput_Mean <= 1.08,0.18795,0.97625,1.07248
MaxNesting_Mean <= 0.04,0.23616,0.97543,1.07158
17.4 < CountLineComment <= 28,0.29688,0.97143,1.06719
0.35 < CountClassCoupled <= 2.4,0.21027,0.97028,1.06592
CountClassCoupled <= 0.35,0.2067,0.96976,1.06536
