Antecedent,Antecedent Coverage %,Confidence,Lift
-0.75 < CountDeclClassVariable <= 0.21 & 0.94 < CountDeclClass <= 1.45,0.43513,1.0,1.1045
0.32 < CountClassCoupled <= 2.3,0.20281,1.0,1.1045
CountClassCoupled <= 0.32,0.19766,1.0,1.1045
4.84 < CountClassCoupled <= 9.3 & 0.985 < AvgEssential <= 1.05,0.14005,1.0,1.1045
-0.75 < CountDeclClassVariable <= 0.21 & -0.0485 < MINOR_COMMIT <= 0.0205,0.50117,0.99907,1.10347
-0.49 < CountDeclMethodPrivate <= 0.08 & 0.94 < CountDeclClass <= 1.45,0.47963,0.99902,1.10342
-0.49 < CountDeclMethodPrivate <= 0.08 & -0.008 < CountDeclMethodProtected <= 0.0315,0.45574,0.99897,1.10337
-0.37 < CountDeclClassMethod <= 0.18 & -0.005 < AvgLineBlank <= 0.092,0.38595,0.99879,1.10316
-0.37 < CountDeclClassMethod <= 0.18 & 0.985 < AvgEssential <= 1.05,0.37845,0.99876,1.10313
-0.37 < CountDeclClassMethod <= 0.18 & -0.75 < CountDeclClassVariable <= 0.21,0.37237,0.99874,1.10311
