"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'CountClassCoupled <= 0.2'","b'target = 0'",0.18165,392,0.18119,391,0.99745,0.01536,1.09264,2.95873e-16,0.91288,1970
"b'000001'","b'-0.535 < CountDeclClassVariable <= 0.135 & -0.242 < AvgLineBlank <= 0.022'","b'target = 0'",0.33457,722,0.33364,720,0.99723,0.02822,1.0924,5.43068e-31,0.91288,1970
"b'000002'","b'-0.6 < CountDeclMethodPrivate <= 0.11 & 0.655 < CountDeclClass <= 1.095'","b'target = 0'",0.41381,893,0.41242,890,0.99664,0.03466,1.09175,3.68493e-10,0.91288,1970
"b'000003'","b'-38.5 < Added_lines <= 14.5'","b'target = 0'",0.39991,863,0.39852,860,0.99652,0.03345,1.09162,2.92284e-39,0.91288,1970
"b'000004'","b'-0.52 < CountDeclClassMethod <= 0.27'","b'target = 0'",0.48563,1048,0.481,1038,0.99046,0.03767,1.08498,4.70553e-42,0.91288,1970
"b'000005'","b'PercentLackOfCohesion <= 3'","b'target = 0'",0.22289,481,0.22011,475,0.98753,0.01664,1.08177,1.43841e-14,0.91288,1970
"b'000006'","b'0.2 < CountClassCoupled <= 2.65'","b'target = 0'",0.22799,492,0.22475,485,0.98577,0.01662,1.07985,4.01222e-14,0.91288,1970
"b'000007'","b'-0.535 < CountDeclClassVariable <= 0.135 & -0.0465 < MINOR_COMMIT <= 0.0205'","b'target = 0'",0.49815,1075,0.49073,1059,0.98512,0.03598,1.07913,3.07726e-11,0.91288,1970
"b'000008'","b'CountLineComment <= 13.8'","b'target = 0'",0.17563,379,0.17285,373,0.98417,0.01252,1.07809,3.02509e-10,0.91288,1970
"b'000009'","b'2.65 < CountClassCoupled <= 5.55'","b'target = 0'",0.19555,422,0.19231,415,0.98341,0.01379,1.07726,3.68063e-11,0.91288,1970
