"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'0.6 < CountClassCoupled <= 3.25'","b'target = 0'",0.19717,432,0.19671,431,0.99769,0.01583,1.08753,3.93289e-17,0.91739,2010
"b'000001'","b'-12.5 < Added_lines <= 10.5'","b'target = 0'",0.36422,798,0.36285,795,0.99624,0.02872,1.08595,7.20081e-33,0.91739,2010
"b'000002'","b'Added_lines <= -12.5'","b'target = 0'",0.10452,229,0.10406,228,0.99563,0.00818,1.08529,2.0268e-08,0.91739,2010
"b'000003'","b'CountClassCoupled <= 0.6'","b'target = 0'",0.20447,448,0.20356,446,0.99554,0.01598,1.08518,1.88571e-16,0.91739,2010
"b'000004'","b'RatioCommentToCode > 2.08'","b'target = 0'",0.19169,420,0.19078,418,0.99524,0.01492,1.08486,3.36554e-15,0.91739,2010
"b'000005'","b'-0.225 < CountDeclClassVariable <= 0.17 & -0.108 < AvgLineBlank <= 0.004'","b'target = 0'",0.38795,850,0.38521,844,0.99294,0.02931,1.08236,5.53667e-15,0.91739,2010
"b'000006'","b'OWN_COMMIT <= 0.02'","b'target = 0'",0.24372,534,0.24053,527,0.98689,0.01694,1.07576,8.2005e-15,0.91739,2010
"b'000007'","b'MINOR_LINE <= 1.03'","b'target = 0'",0.27339,599,0.26928,590,0.98497,0.01848,1.07367,8.59936e-16,0.91739,2010
"b'000008'","b'-0.014 < MaxNesting_Mean <= 0.182'","b'target = 0'",0.29028,636,0.28526,625,0.9827,0.01896,1.0712,1.1419e-15,0.91739,2010
"b'000009'","b'PercentLackOfCohesion <= 2.5'","b'target = 0'",0.22364,490,0.21953,481,0.98163,0.01437,1.07003,2.43429e-11,0.91739,2010
