Antecedent,Antecedent Coverage %,Confidence,Lift
-23.4 < Del_lines <= -2,0.05,0.98113,1.2051
CountDeclMethodPrivate <= -0.355,0.08443,0.97765,1.20083
MAJOR_LINE <= -0.16,0.10519,0.96861,1.18972
0.9 < CountClassCoupled <= 3.35,0.19057,0.96535,1.18571
0.8 < CountDeclInstanceMethod <= 3.6,0.27123,0.95826,1.17701
CountDeclClass <= 0.54,0.07123,0.95364,1.17133
RatioCommentToCode > 1.6,0.20047,0.95294,1.17047
PercentLackOfCohesion <= -1.8,0.1033,0.94977,1.16658
CountClassCoupled <= 0.9,0.20802,0.94785,1.16421
-0.16 < MAJOR_LINE <= 0.24,0.3467,0.93878,1.15307
