"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'OWN_COMMIT <= -0.031'","b'target = 0'",0.07723,173,0.07723,173,1,0.01548,1.2507,2.65926e-18,0.79955,1791
"b'000001'","b'-0.031 < OWN_COMMIT <= 0.048'","b'target = 0'",0.35938,805,0.35625,798,0.9913,0.06891,1.23982,1.26654e-86,0.79955,1791
"b'000002'","b'CountClassCoupled <= 1'","b'target = 0'",0.21161,474,0.2,448,0.94515,0.03081,1.18209,4.0458e-23,0.79955,1791
"b'000003'","b'RatioCommentToCode > 1.74'","b'target = 0'",0.19911,446,0.1875,420,0.9417,0.0283,1.17779,1.61115e-20,0.79955,1791
"b'000004'","b'1.03 < MaxInheritanceTree <= 1.76'","b'target = 0'",0.15759,353,0.1442,323,0.91501,0.0182,1.14441,1.45623e-10,0.79955,1791
"b'000005'","b'0.85 < RatioCommentToCode <= 1.74'","b'target = 0'",0.19241,431,0.17589,394,0.91415,0.02205,1.14333,9.14994e-13,0.79955,1791
"b'000006'","b'MaxInheritanceTree <= 1.03'","b'target = 0'",0.24464,548,0.22232,498,0.90876,0.02672,1.13658,4.19858e-15,0.79955,1791
"b'000007'","b'1 < CountClassCoupled <= 2.82'","b'target = 0'",0.18571,416,0.16563,371,0.89183,0.01714,1.11541,2.8198e-08,0.79955,1791
"b'000008'","b'-0.265 < AvgLineBlank <= 0.085'","b'target = 0'",0.49196,1102,0.43438,973,0.88294,0.04102,1.10429,6.87959e-23,0.79955,1791
"b'000009'","b'CountDeclMethodPublic <= 1.25'","b'target = 0'",0.20536,460,0.1808,405,0.88043,0.01661,1.10116,2.68577e-07,0.79955,1791
