"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'OWN_COMMIT <= -0.01'","b'target = 0'",0.08438,189,0.08304,186,0.98413,0.02141,1.34746,5.80732e-23,0.73036,1636
"b'000001'","b'-0.01 < OWN_COMMIT <= 0.106'","b'target = 0'",0.31563,707,0.30982,694,0.98161,0.0793,1.34402,1.16813e-96,0.73036,1636
"b'000002'","b'RatioCommentToCode > 1.35'","b'target = 0'",0.18929,424,0.17589,394,0.92925,0.03765,1.27232,1.05612e-29,0.73036,1636
"b'000003'","b'CountClassCoupled <= 0.95'","b'target = 0'",0.18438,413,0.16786,376,0.91041,0.0332,1.24653,2.81389e-23,0.73036,1636
"b'000004'","b'MaxInheritanceTree <= 1.1'","b'target = 0'",0.21071,472,0.18661,418,0.88559,0.03271,1.21255,6.42912e-20,0.73036,1636
"b'000005'","b'1.1 < MaxInheritanceTree <= 1.92'","b'target = 0'",0.16964,380,0.14375,322,0.84737,0.01985,1.16021,2.66477e-09,0.73036,1636
"b'000006'","b'1.92 < MaxInheritanceTree <= 2.37'","b'target = 0'",0.22366,501,0.18661,418,0.83433,0.02325,1.14236,5.00676e-10,0.73036,1636
"b'000007'","b'-0.045 < MAJOR_LINE <= 0.34'","b'target = 0'",0.32009,717,0.26518,594,0.82845,0.0314,1.13431,1.24695e-13,0.73036,1636
"b'000008'","b'0.95 < CountClassCoupled <= 3.1'","b'target = 0'",0.2375,532,0.19598,439,0.82519,0.02252,1.12984,4.12112e-09,0.73036,1636
"b'000009'","b'-0.24 < AvgLineBlank <= 0.12'","b'target = 0'",0.48616,1089,0.39107,876,0.80441,0.036,1.10139,7.88379e-15,0.73036,1636
