Antecedent,Antecedent Coverage %,Confidence,Lift
1.05 < CountClassCoupled <= 3.45,0.17634,0.97468,1.20491
CountClassCoupled <= 1.05,0.21875,0.97347,1.20341
CountDeclClass <= 0.745,0.0808,0.95028,1.17473
1.105 < CountDeclClass <= 1.495,0.06161,0.94928,1.1735
1.25 < CountDeclMethodPublic <= 4.15,0.23929,0.94216,1.16471
-0.5 < Added_lines <= 31,0.3,0.94196,1.16446
RatioCommentToCode > 1.265,0.19821,0.93919,1.16103
MaxInheritanceTree <= 1.1,0.225,0.93254,1.15281
0.745 < CountDeclClass <= 1.105,0.49196,0.92559,1.14422
0.815 < RatioCommentToCode <= 1.265,0.18214,0.92157,1.13925
