Antecedent,Antecedent Coverage %,Confidence,Lift
-8.5 < Added_lines <= 29 & -0.225 < AvgLineBlank <= 0.08,0.14554,0.9816,1.18277
0.85 < CountClassCoupled <= 2.9,0.175,0.95153,1.14655
CountPath_Min > 1.264,0.07857,0.94886,1.14333
RatioCommentToCode > 1.535,0.19955,0.94855,1.14295
OWN_COMMIT <= 0.205,0.20313,0.93626,1.12815
CountClassCoupled <= 0.85,0.20268,0.93392,1.12533
1.72 < CountOutput_Mean <= 3.12,0.1933,0.93303,1.12425
MaxInheritanceTree <= 1.07,0.225,0.92857,1.11888
2.9 < CountClassCoupled <= 6.35,0.23884,0.9271,1.11711
1.3 < CountDeclMethodPublic <= 3.75,0.18393,0.91019,1.09674
