"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'-2.4 < Del_lines <= 1.35'","b'target = 0'",0.42756,906,0.42756,906,1,0.01816,1.04436,3.61223e-23,0.95753,2029
"b'000001'","b'25.2 < CountLineComment <= 36.8'","b'target = 0'",0.22227,471,0.22227,471,1,0.00944,1.04436,8.54932e-11,0.95753,2029
"b'000002'","b'36.8 < CountLineComment <= 52'","b'target = 0'",0.20623,437,0.20623,437,1,0.00876,1.04436,5.65267e-10,0.95753,2029
"b'000003'","b'CountClassCoupled <= 0.72'","b'target = 0'",0.19443,412,0.19443,412,1,0.00826,1.04436,2.21122e-09,0.95753,2029
"b'000004'","b'1.35 < Del_lines <= 4.95'","b'target = 0'",0.17555,372,0.17555,372,1,0.00746,1.04436,1.87994e-08,0.95753,2029
"b'000005'","b'CountInput_Mean <= 0.7'","b'target = 0'",0.20812,441,0.20765,440,0.99773,0.00837,1.04199,1.17825e-08,0.95753,2029
"b'000006'","b'MINOR_LINE <= 1.9'","b'target = 0'",0.19066,404,0.19018,403,0.99752,0.00763,1.04177,7.95819e-08,0.95753,2029
"b'000007'","b'0.7 < CountInput_Mean <= 1.38'","b'target = 0'",0.19585,415,0.1949,413,0.99518,0.00737,1.03932,5.40858e-07,0.95753,2029
"b'000008'","b'0.72 < CountDeclClass <= 1.045'","b'target = 0'",0.55356,1173,0.55026,1166,0.99403,0.02021,1.03812,1.77046e-22,0.95753,2029
"b'000009'","b'0.72 < CountClassCoupled <= 2.04'","b'target = 0'",0.23124,490,0.22983,487,0.99388,0.00841,1.03796,1.22433e-07,0.95753,2029
