"Rule ID","Antecedent","Consequent","Antecedent Coverage %","Antecedent Coverage","Support %","Support","Confidence","Leverage","Lift","p-value","Consequent Coverage %","Consequent Coverage"
"b'000000'","b'CountInput_Mean <= 0.44'","b'target = 0'",0.19464,436,0.19464,436,1,0.01095,1.0596,5.87931e-13,0.94375,2114
"b'000001'","b'-13.2 < Del_lines <= 0.2'","b'target = 0'",0.32232,722,0.32188,721,0.99861,0.01768,1.05814,5.87363e-21,0.94375,2114
"b'000002'","b'37.8 < CountLineComment <= 52.6'","b'target = 0'",0.18616,417,0.18438,413,0.99041,0.00869,1.04944,9.47548e-08,0.94375,2114
"b'000003'","b'0.44 < CountInput_Mean <= 1.29'","b'target = 0'",0.22366,501,0.22143,496,0.99002,0.01035,1.04903,3.82951e-09,0.94375,2114
"b'000004'","b'RatioCommentToCode > 2.475'","b'target = 0'",0.2,448,0.19777,443,0.98884,0.00902,1.04778,9.61508e-08,0.94375,2114
"b'000005'","b'2.42 < CountClassCoupled <= 4.34'","b'target = 0'",0.19464,436,0.19241,431,0.98853,0.00872,1.04745,1.94658e-07,0.94375,2114
"b'000006'","b'0.4885 < OWN_COMMIT <= 0.5145'","b'target = 0'",0.29911,670,0.29554,662,0.98806,0.01325,1.04695,2.18231e-11,0.94375,2114
"b'000007'","b'0.68 < CountClassCoupled <= 2.42'","b'target = 0'",0.20982,470,0.20714,464,0.98723,0.00912,1.04608,1.51685e-07,0.94375,2114
"b'000008'","b'21.6 < CountLineComment <= 37.8'","b'target = 0'",0.28616,641,0.2817,631,0.9844,0.01163,1.04307,4.28166e-09,0.94375,2114
"b'000009'","b'-0.22 < CountDeclInstanceVariable <= 0.34'","b'target = 0'",0.36205,811,0.35536,796,0.9815,0.01367,1.04,2.66478e-10,0.94375,2114
