test_idx,best_mean,best_min,best_max,n_changed,n_pool_rows,candidate_id
203,1.993473229903874,1.7735623067340784,2.153557483889092,9,5,3.0
505,0.3102156570198229,0.1940022163539822,0.461403102204812,5,19,0.0
914,0.16964731495918384,0.030885174648964803,0.4287358012332439,3,197,0.0
1169,0.19176473772329358,0.06147065295134158,0.420895472025108,3,197,0.0
1326,0.2013280400598439,0.06798409770706124,0.4353282386530178,3,197,0.0
1504,0.19146718524681855,0.059235530967053314,0.4308200797903648,3,197,0.0
1712,0.5895115051192205,0.30877812837766966,0.8275161384865571,4,17,0.0
567,0.07905922282669942,0.04782870088336748,0.09324954407273499,8,16,0.0
792,2.7678797688059826,2.437577334099153,2.972560823437201,9,6,4.0
861,0.030915197684148268,0.020987211498837047,0.04047478972339202,7,8,1.0
132,0.7010578174023332,0.4785508259931902,0.7924276750658739,9,15,1.0
147,0.8985409775546248,0.6922851398031997,1.0166403201670233,11,5,1.0
148,0.5991482329695118,0.5233377568821702,0.6999178031315179,10,13,2.0
203,0.6794852205628044,0.472641807025181,0.8760555364901803,13,5,4.0
205,0.5852491223760561,0.4258632500391977,0.685209319222299,12,7,0.0
215,1.014187519310011,0.7835622925096543,1.1449271169516428,11,7,4.0
218,0.34328810364031415,0.2321528715453251,0.4426124922658873,10,32,0.0
255,2.236490055091084,2.032587303541113,2.5535769368993884,12,6,1.0
312,0.6703864158428248,0.5387082434385564,0.8039703657454483,11,6,8.0
52,0.2421470345866405,0.18468239532323988,0.2904803470870483,9,10,9.0
106,1.1307237767676335,0.8338063544693886,1.37783437204798,11,5,9.0
110,0.24604578103856067,0.17237453384583337,0.3105029137841957,9,8,3.0
166,0.3030740239119183,0.2400154557794172,0.3534865158856364,10,10,3.0
364,0.4503715346917333,0.15966724056141549,0.578241539609643,11,5,1.0
422,0.6745431949199848,0.5776443130783967,0.7616891311315507,7,11,0.0
695,0.7590409111742601,0.5908608573931472,0.915979527307394,10,15,0.0
785,1.3837595922392285,0.891945513114366,1.7309016455723996,11,5,1.0
799,0.32537658951402615,0.11761783986386289,0.5710322316698134,8,41,1.0
810,0.5465065275671469,0.29843664286003735,0.7249935533367668,8,23,0.0
965,0.4963928004776436,0.36570309184775257,0.621801621670331,10,6,0.0
987,0.29163706348464885,0.20533538626131154,0.3811260827451722,8,14,1.0
1499,0.6573561598847807,0.586482844686588,0.7898453337301716,8,6,5.0
1735,0.8359114890739545,0.6440995534318875,0.9392797788399411,11,8,9.0
1744,0.6114688384740057,0.4549492529871896,0.7156816198426269,9,9,2.0
1764,0.3711718879983026,0.28003105338078416,0.4260950976789289,11,9,4.0
2513,0.4627857221508611,0.3071646963328384,0.6075305325044393,10,8,0.0
2901,1.6608380324966254,1.1871088039669333,2.0085695333697977,10,5,2.0
2906,0.6325532575839868,0.46511179072614456,0.7554529593447864,11,7,3.0
177,0.9131826908712225,0.6974397121296444,1.0265411378971645,12,6,2.0
217,0.21480882457505474,0.11365153210923082,0.26880921896373194,11,22,9.0
328,0.07254805792062752,0.000952819799026965,0.7827765015925109,3,577,0.0
363,0.11081552100124752,0.009455331481983712,0.7040469158152552,4,370,0.0
366,11.651851098106166,11.514804180448303,11.776701201708736,7,13,0.0
432,0.2348761630754872,0.032989324874121026,0.46189423997582113,6,28,0.0
468,0.2676369291050271,0.22136932129555587,0.29967802883968936,11,13,0.0
625,0.26059126807088834,0.1680189615835456,0.3811319204820986,9,52,0.0
628,0.1039970171050146,0.00973869152231074,0.4247317583149122,7,153,0.0
646,0.5083097551436727,0.3759641142425283,0.6124356336522014,8,18,4.0
819,0.9334825701407135,0.7731592366311777,1.0452945033177872,12,8,8.0
828,0.9958384968440139,0.8275754018205728,1.0781884017453094,12,6,8.0
843,0.14787703346012473,0.06769977627859612,0.27459735460902396,9,56,0.0
847,0.08206338870530024,0.010203553652038946,0.46482814285814095,6,230,0.0
875,0.15404670865519204,0.08893388625696015,0.25760337069094996,9,40,3.0
912,0.2199460224681769,0.18033070172893576,0.29665399630849837,12,9,0.0
936,0.5770144939070457,0.26600654569891596,0.7151333669209609,12,8,6.0
1024,0.09589815096503981,0.0252696017832866,0.5363699934125842,5,316,1.0
1025,0.2707863479178725,0.11614267675694358,0.4227943440212578,7,21,0.0
1094,0.06465193809925036,0.03728619369752888,0.0801754478107249,10,13,3.0
1116,0.22313477389531328,0.12453072751618034,0.38290384261637384,8,33,0.0
1159,0.5526876145815565,0.3043794245672579,0.7392512518908152,14,6,8.0
1251,0.12748221614891717,0.031703791688308544,0.4623800733239538,6,163,0.0
1266,0.19157463629280133,0.04746832315267062,0.7461249885139211,4,194,0.0
1272,0.10281567343905125,0.009899303286970926,0.45642722713089606,6,163,0.0
1273,0.16825036426549497,0.03767827504536919,0.6102863544184358,6,175,0.0
1296,0.13718313942063787,0.03499800723655234,0.2409139465303602,9,51,0.0
